name,location,phone,website_url,profile_url
Bernal,"Rochester Hills, MI 48309",(888) 703-7703,https://bernalrotarydies.com/food-processing-system/,https://www.thomasnet.com/company/bernal-10043523/profile?heading=48630404&companyId=bernal-10043523&card_position=1&page_number=1&suppliers_in_page=25&coverage_area=NA
"Central Machines, Inc.","Lincolnshire, IL 60069",(866) 292-1528,https://www.centralmachines.com/capabilities/custom-automation-equipment/,https://www.thomasnet.com/company/central-machines-inc-10099257/profile?heading=48630404&coverage_area=NA&companyId=central-machines-inc-10099257&card_position=2&page_number=1&suppliers_in_page=25
Capital Industries,"Shelbyville, IN 46176",(317) 642-4980,https://www.capitalindustries.com/design-build/,https://www.thomasnet.com/company/capital-industries-30603848/profile?heading=48630404&coverage_area=NA&companyId=capital-industries-30603848&card_position=3&page_number=1&suppliers_in_page=25
C.G. Bretting Manufacturing Co. Inc.,"Ashland, WI 54806",(888) 669-1981,https://www.bretting.com/equipment/specialty-custom-equipment/,https://www.thomasnet.com/company/c-g-bretting-manufacturing-co-inc-10106311/profile?heading=48630404&coverage_area=NA&companyId=c-g-bretting-manufacturing-co-inc-10106311&card_position=4&page_number=1&suppliers_in_page=25
Crane Hill Machine,"Seymour, IN 47274",(812) 358-3534,https://www.cranehillmachine.com/,https://www.thomasnet.com/company/crane-hill-machine-958668/profile?heading=48630404&coverage_area=NA&companyId=crane-hill-machine-958668&card_position=5&page_number=1&suppliers_in_page=25
"Fusion, Inc.","Willoughby, OH 44094",(844) 821-0912,https://www.fusion-inc.com/products/automated-brazing-soldering-machines/,https://www.thomasnet.com/company/fusion-inc-10015508/profile?heading=48630404&coverage_area=NA&companyId=fusion-inc-10015508&card_position=6&page_number=1&suppliers_in_page=25
"Asia Forging Supply Co., Ltd.","Romulus, MI 48174",(888) 604-2188,https://www.d-iamts.com/,https://www.thomasnet.com/company/asia-forging-supply-co-ltd-20102168/profile?heading=48630404&coverage_area=NA&companyId=asia-forging-supply-co-ltd-20102168&card_position=7&page_number=1&suppliers_in_page=25
,,(407) 830-9300,https://unipak.com/,https://www.thomasnet.com/company/uni-pak-corp-792368/profile?heading=48630404&coverage_area=NA&companyId=uni-pak-corp-792368&card_position=8&page_number=1&suppliers_in_page=25
,,(888) 240-5124,https://www.coperion.com/en/products-services/process-equipment,https://www.thomasnet.com/company/coperion-10020847/profile?heading=48630404&coverage_area=NA&companyId=coperion-10020847&card_position=9&page_number=1&suppliers_in_page=25
,,(626) 358-0110,https://www.lintechmotion.com/Custom-Mechanical-Positioning-Systems.cfm,https://www.thomasnet.com/company/lintech-10023208/profile?heading=48630404&coverage_area=NA&companyId=lintech-10023208&card_position=10&page_number=1&suppliers_in_page=25
